Handle	Title	Body (HTML)	Vendor	Product Category	Type	Tags	Published	Option1 Name	Option1 Value	Option1 Linked To	Option2 Name	Option2 Value	Option2 Linked To	Option3 Name	Option3 Value	Option3 Linked To	Variant SKU	Variant Grams	Variant Inventory Tracker	Variant Inventory Qty	Variant Inventory Policy	Variant Fulfillment Service	Variant Price	Variant Compare At Price	Variant Requires Shipping	Variant Taxable	Unit Price Total Measure	Unit Price Total Measure Unit	Unit Price Base Measure	Unit Price Base Measure Unit	Variant Barcode	Image Src	Image Position
black-gold-minaret-style-bakhoor-incense-burne	Black & Gold Minaret Style Bakhoor / Incense Burne	"<p>Enhance your home with the rich aroma of bakhoor...</p>"	Cosmo Decorpk	Home & Garden > Decor > Home Fragrance Accessories > Incense Holders			TRUE	Title	Default Title									1000	shopify	20	deny	manual	2500	4800	TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/photo-output_6_6.jpg?v=1770109556	1
ramadan-moon-candle-holder-islamic-table-decor-resin-incense-burner	Ramadan Moon Candle Holder	"<p>Ramadan Kareem Moon Shape Candle Holder...</p>"	Cosmo Decorpk	Home & Garden > Decor > Home Fragrance Accessories > Incense Holders			TRUE	Material	resin	product.metafields.shopify.material	size	8 inch height						1000	shopify	20	deny	manual	2500	4850	TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/photo-output_5_9.jpg?v=1770108395	1
white-orchid-artificial-plant-in-modern-diamond-planter	White Orchid Artificial Plant	"<h3...>Key Features:</h3>..."	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Flowering Plants			TRUE	Color	white	product.metafields.shopify.color-pattern	Height	3.5 ft						3000	shopify	30	deny	manual	3500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image0_4.png?v=1769254568	1
3-piece-golden-candle-stand-set-with-plastic-led-spiral-candles	3 Piece Golden Candle Stand Set	"<ul>...</ul>"	Cosmo Decorpk	Home & Garden > Decor > Home Fragrance Accessories > Candle Holders			TRUE	candle	With led spiral candle									0	shopify	20	deny	manual	2800		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPT_Image_Jan_21_2026_05_38_35_PM.png?v=1768999136	1
golden-bicycle-planter-stand-with-artificial-flowers	Golden Bicycle Planter Stand	"<h3>...</h3>"	Cosmo Decorpk	Home & Garden > Lawn & Garden > Gardening > Pots & Planters > Planters			TRUE	Size	4 FT height									2000	shopify	25	deny	manual	5200		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPTImageJan21_2026_05_27_16PM.png?v=1768998467	1
handmade-wooden-folding-room-divider-3-panel	Handmade Wooden Folding Room Divider	"<p>...</p>"	Cosmo Decorpk	Furniture > Room Dividers			TRUE	Size	5 ft									6000	shopify	1	deny	manual	29000	45000	TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/D26D65CD-644E-4A6B-921D-C4E5EBAA6DA1.jpg?v=1768309073	1
17-leaf-money-plant-3-ft-height	17-Leaf Money Plant	"<h3>...</h3>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Non-Flowering Plants			TRUE	Color	black	product.metafields.shopify.color-pattern								3000	shopify	27	deny	manual	2500		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/ChatGPT_Image_Jan_24_2026_05_13_00_PM.png?v=1769257070	1
12-inch-long-led-twist-candles-battery-operated-flameless-candles	12 Inch Long LED Twist Candles	""	Cosmo Decorpk	Home & Garden > Decor > Flameless Candles			TRUE	Quantity	1									0	shopify	119	deny	manual	350		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image19_1.jpg?v=1763757059	1
1-packet-extra-stones	1 packet extra stones	""	Cosmo Decorpk	Home & Garden > Decor > Vase Fillers & Table Scatters > Vase Fillers			TRUE	Color	white	product.metafields.shopify.color-pattern								3000	shopify	997	deny	manual	150		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image4_11.jpg?v=1763756858	1
5-ft-tall-money-plant	5 ft Tall Money Plant	"<h2>...</h2>"	Cosmo Decorpk	Home & Garden > Decor > Artificial Flora > Artificial Non-Flowering Plants			TRUE	Color	black	product.metafields.shopify.color-pattern								4000	shopify	19	deny	manual	7000		TRUE	TRUE						https://cdn.shopify.com/s/files/1/0899/9301/9639/files/image2_9.jpg?v=1763756573	1
